STUDIENR,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,SEMESTER,SEMESTER_START,SEMESTER_END,DURATION_DAYS,ATTEMPT
STNR005833,62588,OPERATIVSYSTEMER,4,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005833,62618,OKONOMI,4,bestået/ikke bestået,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR005833,2502,BILLEDANALYSE,2,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR005833,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,4,7-trinsskala,5,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR005833,62597,"BACKENDUDVIKLING, DRIFT OG DISTRIBUEREDE SYSTEMER",2,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR005833,2450,INTRODUKTION TIL MACHINE LEARNING OG DATA MINING,0,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2021, Spring 2021",2021-02-01,2021-08-02,182,2
STNR005833,62437,VIDEREGAENDE MOBILAPPLIKATIONSUDVIKLING MED PROJEKT,7,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR005833,62999,INNOVATION PILOT,4,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR005978,62410,CDIO-PROJEKT,10,7-trinsskala,10,Skriftlig,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR005978,2393,PROGRAMMERING I C++,EM,bestået/ikke bestået,5,Skriftlig,intern censur,"Fall 2017, Spring 2018",2017-08-01,2018-01-30,182,2
STNR005978,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,EM,7-trinsskala,5,Mundtlig,intern censur,"Fall 2017, Fall 2018",2017-08-01,2018-01-30,182,2
STNR005978,2347,PARALLELLE SYSTEMER,IG,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR005978,2326,ALGORITMER OG DATASTRUKTURER,IG,7-trinsskala,5,Skriftlig,ekstern censur,"Spring 2018, Spring 2019",2018-02-01,2018-08-02,182,2
STNR005978,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,EM,7-trinsskala,10,Skriftlig,ekstern censur,"Spring 2018, Spring 2019",2018-02-01,2018-08-02,182,2
STNR005978,2823,COMPUTERSPILPROTOTYPER,0,7-trinsskala,5,Skriftlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR005978,62441,GAME PHYSICS,2,7-trinsskala,5,Skriftlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR005978,31343,INTRODUKTION TIL PROGRAMMERBARE LOGISKE KONTROLLERE,BE,bestået/ikke bestået,5,Skriftlig,intern censur,"Fall 2018, Spring 2018, Spring 2019",2018-02-01,2018-11-01,273,3
STNR005978,62501,LINUX SERVER OG NETVAERK,EM,7-trinsskala,5,Skriftlig,intern censur,"Fall 2018, Spring 2019",2018-08-01,2019-01-30,182,2
STNR005978,2450,INTRODUKTION TIL MACHINE LEARNING OG DATA MINING,EM,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2018, Fall 2019, Spring 2018, Spring 2019",2018-02-01,2019-01-31,364,4
STNR005978,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,EM,7-trinsskala,5,Skriftlig,intern censur,"Fall 2019, Spring 2019, Spring 2019",2019-02-01,2019-11-01,273,3
STNR006005,62410,CDIO-PROJEKT,4,7-trinsskala,10,Skriftlig,intern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR006005,62588,OPERATIVSYSTEMER,4,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR006005,2323,INTRODUKTION TIL STATISTIK,S,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR006005,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,S,7-trinsskala,5,Afløsningsopgave,intern censur,"Spring 2018, Spring 2019",2018-02-01,2018-08-02,182,2
STNR006005,62413,AVANCERET OBJEKTORIENTERET PROGRAMMERING MED C# OG .NET,EM,7-trinsskala,5,Mundtlig,intern censur,Fall 2018,2018-08-01,2018-10-31,91,1
